title,summary,source,source_api,published_date,event_type,is_space_related,is_security_related,country,region,raw_source,time_classified
Fly through Webb’s cosmic vistas,"On the launch anniversary of the NASA/ESA/CSA James Webb Space Telescope, ESA presents a unique compilation of zooms into stunning cosmic views.",Spaceflight News API,spaceflight_news,2025-12-25 15:00:00+00:00,launch,True,False,,,34998,2025-12-25 20:55:25.214270
Avio to Launch Four Earth Observation Satellites for Taiwan,"The Taiwan Space Agency (TASA) has awarded Italian rocket builder Avio a launch contract for its FORMOSAT-8C and 8D, and FORMOSAT-9A and 9B Earth observation satellites. On 19 December, Avio announced that it had signed two launch contracts with undisclosed customers, with a combined value of over €100 million. While the company left it up […]
The post Avio to Launch Four Earth Observation Satellites for Taiwan appeared first on European Spaceflight.",Spaceflight News API,spaceflight_news,2025-12-25 05:00:30+00:00,launch,True,False,,,34997,2025-12-25 20:55:25.214908
Innospace plans second launch in 2026 after failure of first Hanbit-Nano rocket,"
South Korea’s Innospace said it will attempt a second launch of its small rocket in the first half of 2026 after its inaugural flight failed shortly after liftoff Dec. 22.
The post Innospace plans second launch in 2026 after failure of first Hanbit-Nano rocket appeared first on SpaceNews.",Spaceflight News API,spaceflight_news,2025-12-24 17:03:15+00:00,launch,True,False,,,34996,2025-12-25 20:55:25.215282
Santa Visits Artemis II Rocket,"Santa Claus (NASA engineer Guy Naylor) poses with NASA’s Artemis II Orion spacecraft and SLS (Space Launch System) rocket in the Vehicle Assembly Building at NASA’s Kennedy Space Center in Florida on Dec. 11, 2025. The Orion spacecraft was stacked atop the SLS in October 2025. Set to launch in early 2026, the Artemis II […]",Spaceflight News API,spaceflight_news,2025-12-24 13:59:43+00:00,launch,True,False,,,34995,2025-12-25 20:55:25.215624
Avio Launch Deal Highlights Uncertainty in Vega Upgrade Roadmap,"With the announcement of two new launch contracts for its Vega C rocket, totalling more than €100 million, Italian rocket builder Avio appears to have revealed that the launcher could remain operational until 2031. This, in turn, raises questions about when the company plans to introduce its successor, Vega E, and how long it would […]
The post Avio Launch Deal Highlights Uncertainty in Vega Upgrade Roadmap appeared first on European Spaceflight.",Spaceflight News API,spaceflight_news,2025-12-24 06:00:54+00:00,launch,True,False,,,34994,2025-12-25 20:55:25.215954
Indian rocket launches AST SpaceMobile’s next-gen BlueBird-6 satellite,"An Indian LVM3 rocket launched AST SpaceMobile’s next-generation direct-to-device BlueBird satellite Dec. 23, kicking off a rollout of dozens of spacecraft built around the largest commercial communications antenna ever deployed in LEO.
The post Indian rocket launches AST SpaceMobile’s next-gen BlueBird-6 satellite appeared first on SpaceNews.",Spaceflight News API,spaceflight_news,2025-12-24 04:10:09+00:00,launch,True,False,,,34993,2025-12-25 20:55:25.216266
Flight 12 vehicles readying for 2026 opener,"SpaceX is rapidly advancing the assembly of Super Heavy Booster 19 at its Starbase facility,…
The post Flight 12 vehicles readying for 2026 opener appeared first on NASASpaceFlight.com.",Spaceflight News API,spaceflight_news,2025-12-23 23:43:44+00:00,launch,True,False,,,34992,2025-12-25 20:55:25.216576
ESA to hire 520 new staff as workforce expansion begins in 2026,"
MILAN — The European Space Agency announced plans to hire approximately 520 new staff members starting in 2026, following decisions approved at ESA’s 342nd Council meeting earlier this month.  The recruitment will result in a net increase of about 400 staff, alongside the replacement of roughly 120 positions due to retirements. The move will bring […]
The post ESA to hire 520 new staff as workforce expansion begins in 2026 appeared first on SpaceNews.",Spaceflight News API,spaceflight_news,2025-12-23 20:41:32+00:00,policy_or_corporate,True,False,,,34991,2025-12-25 20:55:25.216903
OPERA: Addressing Societal Needs with Satellite Data,"Introduction The Observational Products for End-Users from Remote Sensing Analysis (OPERA) project represents a strategic initiative designed to address critical satellite data needs identified by federal agencies. Established in 2021 by the NASA/Jet Propulsion Laboratory (JPL), OPERA responds to priorities identified by the Satellite Needs Working Group (SNWG), an interagency body convened by the White […]",Spaceflight News API,spaceflight_news,2025-12-23 18:55:41+00:00,satellite_deployment,True,False,,,34990,2025-12-25 20:55:25.217471
"Get In, We’re Going to the Moon: Meet NASA’s Artemis Closeout Crew","For most, getting into a car is a task that can be done without assistance. Yet for those whose destination is the Moon, the process of getting inside and secured – in this case, in NASA’s Orion spacecraft – requires help. That’s the role of the Artemis closeout crew. Trained to support Artemis II and […]",Spaceflight News API,spaceflight_news,2025-12-23 18:44:07+00:00,other,True,False,,,34989,2025-12-25 20:55:25.218010
